accident_index,speed_limit,light_conditions,weather_conditions,road_surface_conditions,vehicle_type,junction_location,skidding_and_overturning,vehicle_leaving_carriageway,hit_object_off_carriageway,first_point_of_impact,sex_of_driver,age_of_oldest_driver,accident_severity
2019140867374,30,darkness,fine,dry,at least one biped,not at or within 20 metres of junction,no skidding or overturning,none leaving carriageway,none hit an object,at least one vehicle with frontal impact,all males,,slight
2019220894975,60,daylight,fine,dry,other,at or within 20 metres of junction,no skidding or overturning,none leaving carriageway,none hit an object,no impact,male and female,36.0,fatal
201906m152528,40,darkness,fine,wet or damp,at least one van,not at or within 20 metres of junction,at least one vehicle skidded or overturned,at least one vehicle leaving carriageway,none hit an object,at least one vehicle with frontal impact,male and female,56.0,slight
2019440138122,60,daylight,fine,dry,only cars,at or within 20 metres of junction,no skidding or overturning,none leaving carriageway,none hit an object,at least one vehicle with frontal impact,data missing or out of range,,fatal
2019010229389,30,darkness,fine,dry,at least one biped,not at or within 20 metres of junction,data missing or out of range,data missing or out of range,data missing or out of range,other points of impact,male and female,,serious
2019430189215,70,daylight,fine,dry,only cars,at or within 20 metres of junction,no skidding or overturning,none leaving carriageway,none hit an object,at least one vehicle with frontal impact,male and female,44.0,fatal
2019430207636,60,daylight,fine,dry,at least one van,at or within 20 metres of junction,no skidding or overturning,none leaving carriageway,none hit an object,at least one vehicle with frontal impact,all males,42.0,slight
2019010197884,30,daylight,fine,dry,only cars,at or within 20 metres of junction,no skidding or overturning,none leaving carriageway,none hit an object,at least one vehicle with frontal impact,male and female,47.0,serious
2019360861035,30,daylight,fine,dry,at least one biped,not at or within 20 metres of junction,no skidding or overturning,none leaving carriageway,none hit an object,other points of impact,male and female,18.0,serious
2019010214819,30,darkness,fine,dry,at least one biped,at or within 20 metres of junction,at least one vehicle skidded or overturned,none leaving carriageway,none hit an object,at least one vehicle with frontal impact,male and female,44.0,serious
201906q266120,30,darkness,other,wet or damp,only cars,at or within 20 metres of junction,at least one vehicle skidded or overturned,none leaving carriageway,at least one vehicle hit an object,at least one vehicle with frontal impact,data missing or out of range,,serious
2019051911752,40,daylight,fine,dry,only cars,not at or within 20 metres of junction,no skidding or overturning,none leaving carriageway,none hit an object,at least one vehicle with frontal impact,all males,68.0,slight
2019521906945,30,daylight,fine,dry,at least one van,at or within 20 metres of junction,no skidding or overturning,none leaving carriageway,none hit an object,at least one vehicle with frontal impact,male and female,34.0,slight
2019440258383,30,daylight,fine,dry,at least one biped,at or within 20 metres of junction,no skidding or overturning,none leaving carriageway,none hit an object,at least one vehicle with frontal impact,data missing or out of range,,slight
2019010199208,20,daylight,fine,dry,at least one biped,at or within 20 metres of junction,no skidding or overturning,none leaving carriageway,none hit an object,at least one vehicle with frontal impact,all males,45.0,serious
2019200867788,30,daylight,fine,dry,only cars,not at or within 20 metres of junction,no skidding or overturning,none leaving carriageway,none hit an object,at least one vehicle with frontal impact,all females,46.0,slight
2019010169687,30,daylight,fine,dry,only cars,data missing or out of range,data missing or out of range,data missing or out of range,data missing or out of range,data missing or out of range,data missing or out of range,,slight
2019010229664,30,daylight,fine,dry,only cars,at or within 20 metres of junction,no skidding or overturning,none leaving carriageway,none hit an object,other points of impact,all males,41.0,slight
201931c210919,30,daylight,fine,dry,at least one biped,at or within 20 metres of junction,no skidding or overturning,none leaving carriageway,none hit an object,at least one vehicle with frontal impact,data missing or out of range,,serious
